method,round,num_labeled,best_val_mse,test_mse
Random,0,100,0.47888535261154175,0.47902974583321695
Random,1,200,0.44902440905570984,0.47059151452689263
Random,2,300,0.48168444633483887,0.4692101798148924
Random,3,400,0.4524806380271912,0.4618688034390679
Random,4,500,0.4437705338001251,0.4582392542972482
Random,5,600,0.4426156719525655,0.4483969181409713
Random,6,700,0.4421313626425607,0.44884540520969374
Random,7,800,0.44867208003997805,0.4585186922067503
Random,8,900,0.2889222078853183,0.29254549896898085
Random,9,1000,0.29237075209617613,0.2919375960454506
